"NOMBRE DE LA INSTALACIÓN",FUENTE,TIPO,"FECHA DE DOCUMENTACIÓN","ESTADO ACTUAL","FECHA DE CONSTRUCCIÓN"
"BATERIA DE SEPARACION MESA CERRADA","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION MOZUTLA","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION OCOTEPEC","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION POZA RICA III","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION POZA RICA IX","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION POZA RICA XI","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION POZA RICA XIII","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1960/01/01
"BATERIA DE SEPARACION PITAL Y MOZUTLA","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION CASTILLO DE TEAYO","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION JILIAPA I","TRANSFERENCIA HISTORICA",BATERIA,2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION JILIAPA II","TRANSFERENCIA HISTORICA",BATERIA,2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION JILIAPA","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION POZA RICA V","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION POZA RICA X","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1961/01/01
"PLANTA DE INYECCION DE AGUA POZA RICA II","TRANSFERENCIA HISTORICA","PLANTA DE INYECCION DE AGUA",2016/08/11,DESCONOCIDO,
"CENTRAL DE ALMAC. Y BOMBEO POZA RICA","TRANSFERENCIA HISTORICA","CENTRAL ALMACENAMIENTO Y BOMBEO",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION EZEQUIEL ORDONEZ","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION SANTA AGUEDA I","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1953/01/01
"BATERIA DE SEPARACION SANTA AGUEDA II","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1953/01/01
"BATERIA DE SEPARACION SANTA AGUEDA 49","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS MIRALEJOS","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION SN PABLO-RINC-P","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS FOURIER","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE MEDICION Y CONTROL PAPAN","TRANSFERENCIA HISTORICA","ESTACION DE MEDICION",2016/08/11,DESCONOCIDO,
"PLATAFORMA SATELITE PERFORACION ATUN D","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"PLATAFORMA SATELITE PERFORACION BAGRE C","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION CONSTITUCIONES 3","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1978/01/01
"ESTACION DE MEDICION GAS CPG POZA RICA","TRANSFERENCIA HISTORICA","ESTACION DE MEDICION",2016/08/11,DESCONOCIDO,
"ESTACION DE MEDICION GAS ARENQUE A CPG","TRANSFERENCIA HISTORICA","ESTACION DE MEDICION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION D AGUA CONGENITA","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION POZA RICA XVI","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION POZA RICA XX","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION REMOLINO I","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION PAPANTLA 1","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"PLANTA INYECCCION AGUA YAC SAN ANDRES I","TRANSFERENCIA HISTORICA","PLANTA DE INYECCION DE AGUA",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION CERRO DEL CARBON","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION SAN ANDRES I","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION SAN ANDRES II","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION SAN ANDRES","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"PLANTA INYECCCION DE AGUA SAN ANDRES II","TRANSFERENCIA HISTORICA","PLANTA DE INYECCION DE AGUA",2016/08/11,DESCONOCIDO,
"ESTACION DE MEDICION DE CRUDO ARENQUE","TRANSFERENCIA HISTORICA","ESTACION DE MEDICION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS CUATRO MILPAS 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS ARCABUZ 1B","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION ARCABUZ 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION GAS CUERVITO 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE CALENTAMIENTO ANAHUAC","TRANSFERENCIA HISTORICA","ESTACION DE CALENTAMIENTO",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS ALONDRA 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION MIGUEL HIDALGO","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS PALMITO 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION REMOLINO 2","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION MIRALEJOS","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION FURBERO 1","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2017/07/27,OPERANDO,
"ESTACION DE COMPRESION DE BOMBAS","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS CULEBRA 8B","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE MEDICION SANTA ELENA","TRANSFERENCIA HISTORICA","ESTACION DE MEDICION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS CANON 3","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS HUATEMPO 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION XOCOTLA","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION AGUA FRIA 3","DOCUMENTOS DE SOPORTE","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS ARCOS 1B","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION ARENQUE","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS CUTRO MILPAS 1A","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS ROBULLUS 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS CASA ROJA 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS REYNOSA 3","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE MEDICION AHMSA","TRANSFERENCIA HISTORICA","ESTACION DE MEDICION",2016/08/11,DESCONOCIDO,
"MOD MISION 3","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS CORIDON 2A","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS ARCABUZ 4B","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION CULEBRA 3A","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION CERRO DEL CARBON","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION ANTARES","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,
"BATERIA DE SEPARACION ALAMO","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION AGUA FRIA 1","DOCUMENTOS DE SOPORTE","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION BURGOS","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS CULEBRA 4B","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS TRONCON 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS BUENA SUERTE 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS CUITLAHUAC 9 (MODULO)","VERIFICADO POR PEMEX","ESTACION DE RECOLECCION",2020/09/23,OPERANDO,
"C P G","TRANSFERENCIA HISTORICA","COMPLEJO PROCESADOR DE GAS",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION COAPECHACA I","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,2006/01/01
"BATERIA DE SEPARACION AGUA FRIA 2","DOCUMENTOS DE SOPORTE","BATERIA DE SEPARACION",2020/10/31,OPERANDO,2008/01/01
"CENTRO ADMINISTRATIVO MOCAMBO","TRANSFERENCIA HISTORICA",ADMINISTRATIVA,2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS CULEBRAS 8D","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPRACION COYULA 1","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,
"ESTACION DE RECOLECCION DE GAS MOJARRENAS 1A","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS ARCABUZ 4A","DOCUMENTOS DE SOPORTE","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS QUITRIN 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION SANTIAGO 1","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION CONTITUCIONES 3","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE REOLECCION DE GAS CULEBRA 8C","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"SISTEMA DE INYECCION DE AGUA CONGENITA","TRANSFERENCIA HISTORICA","SISTEMA DE INYECCION DE AGUA CONGENITA",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS CUTRO MILPAS 3","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS CUITLAHUAC 8 (MODULO)","VERIFICADO POR PEMEX","ESTACION DE RECOLECCION MODULAR",2020/09/23,"FUERA DE OPERACION",
"BATERIA DE SEPARACION PONTON","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION  PERDIZ","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION CONSTITUCIONES 4","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,1978/01/01
"BATERIA DE SEPARACION TAJIN V","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPRACION COAPECHACA 3","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS ARCABUZ 7","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION CHICONCILLO","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS CULEBRA 7","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS ARCABUZ 3B","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION  DE GAS CULEBRA A 2B","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION AGUA FRIA 1","DOCUMENTOS DE SOPORTE","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS COMITAS 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS ARCOS 3A","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION  SANTA ROSALIA 1","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS CADENA 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CALABAZA 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE MEDICION MATAPIONCHE","TRANSFERENCIA HISTORICA","ESTACION DE MEDICION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS CULEBRA 3B","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION ZACATE 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION PALMITO 4","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION PALMITO 3","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION MEXICANO","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION REYNOSA","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"PLATAFORMA SATELITE LANKAHUASA B","TRANSFERENCIA HISTORICA",PERFORACION,2016/08/11,DESCONOCIDO,
"PLATAFORMA SATELITE PERFORACION CARPA A","TRANSFERENCIA HISTORICA",PERFORACION,2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION HIDALGO 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"PLANTA DE INYECCION DE AGUA HALLAZGO","TRANSFERENCIA HISTORICA","PLANTA DE INYECCION DE AGUA",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION NILO 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION RECOLECCION TRAT PIRINEO 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION VELERO 5","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION REYNOSA 17","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION  PAMORANA","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION TIGRILLO 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION RECOLECCION 4 MILPAS AUX","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION RAFAEL 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION FUNDADOR 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION TINTA1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION VELERO 4","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION GENERAL 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION MONTERREY 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION PANDURA 3","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION  REYNOSA 4","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION REYNOSA 8","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION MONTERREY 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION REYNOSA 12","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION REYNOSA 6","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION LAMPAZOS 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION RECOLECCION LOMITAS AUX","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION LOMITAS 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION VIBORITAS 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION ARCABUZ 6","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS CALABAZA 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION Y SEPARACION",2017/10/06,OPERANDO,
"ESTACION DE RECOLECCION BAYO 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION AXON 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE AGUA CONGENITA","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION MADERA","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION COLECTOR 2 MP","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION COLECTOR 3","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION MATAPIOCHE 2","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION PERDIZ","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"MODULO ITA-7",REFERENCIAS,"MODULO DE RECOLECCION DE GAS",2016/08/11,DESCONOCIDO,
"MODULO ITA-1","TRANSFERENCIA HISTORICA",MODULO,2016/08/11,DESCONOCIDO,
"MODULO PIPILA-8","TRANSFERENCIA HISTORICA",MODULO,2016/08/11,DESCONOCIDO,
"MODULO ITA-30","TRANSFERENCIA HISTORICA",MODULO,2016/08/11,DESCONOCIDO,
"MODULO FOSIL-1","TRANSFERENCIA HISTORICA",MODULO,2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS ECATL 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS ECATL 1",REFERENCIAS,"ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ENTRONQUE COMITAS","TRANSFERENCIA HISTORICA",ENTRONQUE,2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION NUEVO PROGRESO","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ALUX-1  SATELITE PERFORACION","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"CITAM-101 SATELITE PERFORACION","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"KIX-1 SATELITE PERFORACION","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"KIX-2 SATELITE PERFORACION","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"TOLOC-1 SATELITE","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"PLATAFORMA HABITACIONAL CAYO  ARCAS","TRANSFERENCIA HISTORICA","PLATAFORMA MAR HABITACIONAL",2016/08/11,DESCONOCIDO,
"PLATAFORMA DE MEDICION","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE MEDICION",2016/08/11,DESCONOCIDO,
"PLATAFORMA TELECOMUNICACIONES","TRANSFERENCIA HISTORICA","PLATAFORMA MAR TELECOM",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION ATASTA","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION DE GAS XICALANGO","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"KAX-1 SATELITE PERFORACION","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"OCH-1B SATELITE PERFORACION","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"OCH-TA SATELITE PERFORACION","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"SINAN-NE SATELITE PERFORACION","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PRODUCCION",2016/08/11,DESCONOCIDO,
"UECH-A SATELITE PERFORACION","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"UECH-TB SATELITE PERFORACION","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"UECH-1 SATELITE PERFORACION","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"CAAN-101 SATELITE","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"CAAN-401 SATELITE","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"CAAN-A SATELITE","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"CAAN-C SATELITE","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"CAAN-TA SATELITE","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"CAAN-TC SATELITE","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
